,name,title,attributes,description,section,section_type,available,special_title,capacity,enrolled,crn,levels,schedule_type,instructors,where,days,time
0,MATH 577,Computational Mathematics I,Standard Tuition Rate,"Fundamentals of matrix theory; least squares problems; computer arithmetic, conditioning and stability; direct and iterative methods for linear systems; eigenvalue problems. Credit may not be granted for both Math 577 and Math 477. Prerequisite: An undergraduate numerical course, such as MATH 350 or instructor permission.",Fall 2020,Class,17,,20,3,10317,"Graduate Business, Graduate, Undergraduate",Lecture,Shuwang Li,TBA,MW,11:25am - 12:40pm
1,MATH 577,Computational Mathematics I,Standard Tuition Rate,"Fundamentals of matrix theory; least squares problems; computer arithmetic, conditioning and stability; direct and iterative methods for linear systems; eigenvalue problems. Credit may not be granted for both Math 577 and Math 477. Prerequisite: An undergraduate numerical course, such as MATH 350 or instructor permission.",Fall 2020,Independent Study/Research,8,,10,2,13973,"Graduate Business, Graduate",Independent Study/Research,Sonja Petrovic,TBA,,TBA
2,PSYC 410,Intro Rehab/Mental Health Cslg,"Communications Requirement, Social Sciences Requirement, Standard Tuition Rate","Historical, philosophical, ethical, and legal bases of rehabilitation and mental health counseling. Includes a study of professional roles, functions, and responsibilities as well as service delivery systems and practices such as vocational, independent living, and public and private rehabilitation and mental health counseling.",Fall 2020,Class,10,,15,5,10455,"Graduate Business, Graduate, Undergraduate",Lecture,Francis Lane,TBA,M,1:50pm - 4:30pm
3,MILS 401,Leadership&Management,"Communications Requirement, Standard Tuition Rate","Develops student proficiency in planning and executing complex operations, functioning as a member of a staff, and mentoring subordinates. Students explore training management, methods of effective staff collaboration, and developmental counseling techniques.",Fall 2020,Class,9,,10,1,10701,"Graduate Business, Graduate, Undergraduate",Lecture/Lab,"Francis Koykar, Howard Clifford",TBA,T,9am - 11:50am
4,ITMT 597,Special Problem in IT,Standard Tuition Rate,Independent study and project.,Fall 2020,Class,1,,1,0,12677,"Graduate Business, Graduate, Undergraduate",Independent Study/Research,Shawn Davis,TBA,,TBA
5,ITMT 597,Special Problem in IT,Standard Tuition Rate,Independent study and project.,Fall 2020,Class,1,,1,0,12678,"Graduate Business, Graduate, Undergraduate",Independent Study/Research,Robert Henkins,TBA,,TBA
6,ITMT 597,Special Problem in IT,Standard Tuition Rate,Independent study and project.,Fall 2020,Class,4,Special Problem in IT,5,1,14250,"Graduate Business, Graduate, Undergraduate",Independent Study/Research,Vasilios Pappademetriou,TBA,,TBA
7,ITMT 597,Special Problem in IT,Standard Tuition Rate,Independent study and project.,Fall 2020,Class,5,,5,0,12688,"Graduate Business, Graduate, Undergraduate",Independent Study/Research,Yong Zheng,TBA,,TBA
8,ITMT 597,Special Problem in IT,Standard Tuition Rate,Independent study and project.,Fall 2020,Independent Study/Research,10,,10,0,11799,"Graduate Business, Graduate, Undergraduate",Independent Study/Research,James Papademas,TBA,,TBA
9,ITMT 597,Special Problem in IT,Standard Tuition Rate,Independent study and project.,Fall 2020,Independent Study/Research,10,,10,0,11237,"Graduate Business, Graduate, Undergraduate",Independent Study/Research,William Lidinsky,TBA,,TBA
